央视频道,#genre#
和平综合,http://php.jdshipin.com:8880/chudian.php?id=hpzh
东源台,http://php.jdshipin.com:8880/chudian.php?id=dytv
吴川综合,http://php.jdshipin.com:8880/chudian.php?id=wczh
乐昌台,http://php.jdshipin.com:8880/chudian.php?id=lctv
番禺台,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv

少儿频道,#genre#
卡酷动画,http://192.168.0.220:4022/rtp/239.20.0.162:2122
金鹰卡通,http://192.168.0.220:4022/rtp/239.20.0.163:2124
金鹰卡通,http://192.168.0.220:4022/rtp/239.21.0.115:3804
炫动卡通,http://192.168.0.220:4022/rtp/239.20.0.164:2126
广东少儿,http://192.168.0.220:4022/rtp/239.20.0.118:2034
广东少儿,http://192.168.0.220:4022/rtp/239.21.0.87:3688
嘉佳卡通,http://192.168.0.220:4022/rtp/239.20.0.119:2036
嘉佳卡通,http://192.168.0.220:4022/rtp/239.21.0.94:3716
CCTV-14少儿,http://192.168.0.220:4022/rtp/239.20.0.202:2202
CCTV-14少儿,http://192.168.0.220:4022/rtp/239.20.0.184:2166

卫视频道,#genre#
湖南卫视,http://192.168.0.220:4022/rtp/239.20.0.135:2068
湖南卫视,http://192.168.0.220:4022/rtp/239.20.0.95:3020
湖南卫视,http://192.168.0.220:4022/rtp/239.20.0.105:2008
浙江卫视,http://192.168.0.220:4022/rtp/239.20.0.106:2010
浙江卫视,http://192.168.0.220:4022/rtp/239.20.0.94:3024
浙江卫视,http://192.168.0.220:4022/rtp/239.20.0.169:2136
江苏卫视,http://192.168.0.220:4022/rtp/239.20.0.107:2012
江苏卫视,http://192.168.0.220:4022/rtp/239.20.0.170:2138
江苏卫视,http://192.168.0.220:4022/rtp/239.20.0.93:3028
东方卫视,http://192.168.0.220:4022/rtp/239.20.0.108:2014
东方卫视,http://192.168.0.220:4022/rtp/239.20.0.173:2144
北京卫视,http://192.168.0.220:4022/rtp/239.20.0.121:2040
安徽卫视,http://192.168.0.220:4022/rtp/239.20.0.136:2070
安徽卫视,http://192.168.0.220:4022/rtp/239.20.0.193:2184
贵州卫视,http://192.168.0.220:4022/rtp/239.20.0.212:2222
北京卫视,http://192.168.0.220:4022/rtp/239.20.0.137:2072
江西卫视,http://192.168.0.220:4022/rtp/239.20.0.138:2074
江西卫视,http://192.168.0.220:4022/rtp/239.20.0.55:3180
深圳卫视,http://192.168.0.220:4022/rtp/239.20.0.134:2066
深圳卫视,http://192.168.0.220:4022/rtp/239.20.0.92:3032
深圳卫视,http://192.168.0.220:4022/rtp/239.20.0.122:2042
河南卫视,http://192.168.0.220:4022/rtp/239.20.0.144:2086
河南卫视,http://192.168.0.220:4022/rtp/239.21.0.104:3756
云南卫视,http://192.168.0.220:4022/rtp/239.20.0.145:2088
云南卫视,http://192.168.0.220:4022/rtp/239.21.0.133:3876
陕西卫视,http://192.168.0.220:4022/rtp/239.20.0.151:2100
山西卫视,http://192.168.0.220:4022/rtp/239.20.0.152:2102
内蒙古卫视,http://192.168.0.220:4022/rtp/239.20.0.153:2104
青海卫视,http://192.168.0.220:4022/rtp/239.20.0.154:2106
海南卫视,http://192.168.0.220:4022/rtp/239.20.0.155:2108
海南卫视,http://192.168.0.220:4022/rtp/239.21.0.134:3880
宁夏卫视,http://192.168.0.220:4022/rtp/239.20.0.156:2110
西藏卫视,http://192.168.0.220:4022/rtp/239.20.0.157:2112
新疆卫视,http://192.168.0.220:4022/rtp/239.20.0.158:2114
甘肃卫视,http://192.168.0.220:4022/rtp/239.20.0.159:2116
